Player,Salary,NBA_Country,NBA_DraftNumber,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Nene Hilario,3477600.00,Brazil,7.00,35.00,HOU,50.00,732.00,17.00,0.60,0.01,0.44,8.10,18.50,13.30,9.60,1.80,1.60,11.70,19.00,1.60,1.00,2.60,0.17,-1.20,0.60,-0.60,0.30
Nemanja Bjelica,3949999.00,Serbia,35.00,29.00,MIN,63.00,1286.00,12.90,0.60,0.49,0.13,4.20,19.10,11.60,8.60,1.70,1.00,12.00,14.30,1.70,1.00,2.70,0.10,0.80,-0.20,0.60,0.80
Naz Mitrou-Long,92160.00,Canada,62.00,24.00,UTA,1.00,1.00,134.10,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.10,0.10,0.00,0.10,2.71,68.70,-14.30,54.40,0.00
Nate Wolters,50000.00,USA,38.00,26.00,UTA,5.00,19.00,-2.90,0.17,0.00,0.00,6.10,5.90,6.00,7.10,0.00,0.00,0.00,14.20,-0.10,0.00,-0.10,-0.14,-10.30,-2.20,-12.50,-0.10
Myles Turner,2569920.00,USA,11.00,21.00,IND,61.00,1761.00,17.60,0.58,0.24,0.33,5.90,20.10,13.10,7.20,1.10,5.70,11.50,20.10,2.60,2.50,5.00,0.14,-0.60,1.90,1.40,1.50
Montrezl Harrell,1471382.00,USA,32.00,24.00,LAC,72.00,1190.00,24.90,0.66,0.01,0.42,9.30,17.10,13.30,9.20,1.30,3.30,9.80,23.80,4.10,1.20,5.30,0.21,2.40,-0.10,2.30,1.30
Mirza Teletovic,10500000.00,Bosnia,62.00,32.00,MIL,10.00,159.00,13.50,0.62,0.79,0.00,2.20,14.80,8.50,9.50,1.30,0.50,10.90,18.20,0.20,0.10,0.30,0.09,1.60,-3.30,-1.70,0.00
Mindaugas Kuzminskas,3025035.00,Lithuania,62.00,28.00,NYK,1.00,2.00,-41.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.60,0.00,0.00,0.00,-1.06,-36.50,-12.70,-49.20,0.00
Milos Teodosic,6000000.00,Serbia,62.00,30.00,LAC,45.00,1134.00,11.70,0.56,0.64,0.13,1.60,10.50,6.10,26.20,1.00,0.40,20.30,18.20,0.90,0.50,1.40,0.06,0.70,-2.00,-1.30,0.20
Miles Plumlee,12500000.00,USA,26.00,29.00,ATL,52.00,888.00,10.70,0.57,0.00,0.33,9.60,18.50,14.00,7.30,0.90,2.90,23.70,13.10,0.10,0.70,0.80,0.04,-3.90,1.40,-2.50,-0.10
Mike Scott,1709538.00,USA,43.00,29.00,WAS,72.00,1320.00,13.70,0.61,0.31,0.14,3.70,15.80,9.80,8.90,0.80,0.70,12.80,19.80,1.40,1.00,2.30,0.09,-0.40,-1.70,-2.20,-0.10
Mike Muscala,5000000.00,USA,44.00,26.00,ATL,50.00,984.00,14.60,0.60,0.53,0.20,6.00,18.30,12.20,7.00,1.50,2.30,11.00,15.80,1.40,0.90,2.30,0.11,0.00,0.20,0.20,0.60
